No,제목,작성일,조회,본문
100,운전시 자외선 차단의 중요성,2010.11.05,6552,﻿ 어제 TV에서 저녁뉴스를 시청하신 분들은 자외선 관련 기사를 보시고 놀라셨을 줄로 압니다. 매일 2시간 이상 장거리 출퇴근을 한 여성의 경우 운전석창가 반대편 그늘이 지는 쪽의 얼굴에 비해 창가쪽에 위치한 얼굴의 노화현상이 급속히 진행되어 주름이 훨씬 많아지는 현상을 보였습니다. 이는 유리창을 통하여 차안으로 입사된 자외선이 피부탄력을 유지시키는 콜라겐 단백질을 파괴했기 때문입니다. 자외선은 여름철의 강한 햇빛뿐만 아니라 가을철 선선한 날씨 가운데서도 예외가 없습니다. 당신의 피부건강을 위하여 완벽 자외선 차단-루마썬팅필름을 차유리에 시공하십시오!!! 관련 보도내용 참고 : http://news.sbs.co.kr/section_news/news_read.jsp?news_id=N1000816629
99,3S렌즈 판매 개시,2010.11.05,5703,루마썬팅필름이 사각지대 확인용 렌즈로 유용한 3S렌즈와 업무제휴를 맺음므로써 전국 루마공식썬팅시공점에서도 3S렌즈의 구입이 가능해졌습니다. 고객 여러분들의 많은 성원 부탁드립니다.
98,열차단력에 대한 과장광고에 현혹되지 마십시오!!!,2010.06.11,7176,"일부 필름메이커들이 부정확하거나 공인되지 않은 데이터를 가지고 고객들을 현혹시키는 사례가 많아서 열차단력에 대한 고객님들의 올바른 이해를 돕고자 하오니 참고해 주시길 바랍니다. 1. IR(적외선) 차단율이 곧 열차단율이 아닙니다. 일부 브랜드 혹은 필름메이커들이 자사필름, 특히 전면에 많이 시공되어지는 70~80%의 가시광선 투과율(VLT)을 가진 나노계열의 필름들이 열차단율 97%니 98%니 하며 자체 테스터기로 고객에게 보여주며 자사필름이 열차단력이 매우 뛰어나다고 홍보하 여 고객들을 끌어오는 방법을 취하는데 이는 명백한 과장광고입니다. 열은 태양에너지의 형태로 자외선, 가시광선, 적외선 영역에 각각 3%, 44%, 53%가 분포되어 있는데 적외선 영역대의 태양에너지(열)을 100% 차단 한다고 하여도 가시광선을 최대한 차단하지 않는 한 산술적으로 90%이상의 태양에너지 차단율은 불가능한 것입니다. 타 메이커의 홍보대로 90%이상의 열차단이 가능하려면 필름 농도부터 연한 필름이 아닌 매우 새까만 필름이어야 합니다. 그래야 가시광선(햇빛)에 분포된 태양에너지를 차단할 수 있기 때문입니다. 이처럼 농도가 진한 필름으로 태양에너지의 차단을 높인다 하더라도 내부 시안성이 현격하게 떨어지므로 자동차용 썬팅필름으로는 사용이 어렵습니다. 2. 그래서 IWFA(국제 윈도우필름협회)에서도 필름의 성능을 규정할 때 IR(적외선)차단율 대신 TSER(총 태양에너지차단율)이란 데이터를 공식적으로 사용하고 있는 것이며 루마필름 의 제조원인 CPFilms Inc에서는 태양에너지차단력의 정확한 데이터로 TSER(%)을 제공하고 있는 것입니다. 일부 타사에서 홍보하는 열차단율이란 공식적으로 정해지지 않은, 표준화되지 않은 데이터임을 인지해 주시길 바랍니다. 3. 대다수 IR필름은 열흡수 메커니즘입니다. 시중의 대다수 IR(적외선)차단 필름은 금속(메탈)대신 나노입자를 이용한 열흡수 메커니즘 방식으로 태양에너지를 차단하는 방식입니다. 필름의 나노입자들이 창유리를 통하여 차안 으로 들어오는 적외선을 흡수하기 때문에 일정시간이 지나면 필름에 흡수되어 있던 태양 에너지가 차안으로 들어오게 됩니다. 그러므로 초기 적외선 차단율은 시간이 지남에 따라 서 큰 푹으로 떨어지는데 일부 타메이커들은 이것을 고객들에게 얘기하지 않고 초기성능 이 오래 지속되는 것처럼 소비자들을 호도하는 것입니다. 4. 그나마 IR(적외선)차단율도 IR영역대의 차단율 평균값이 아닌 특정 파장대의 값입니다. 적외선은 780~2,500나노미터의 넓은 파장대를 가지고 있는데 열차단율 광고에 주력하는 일부 필름메이커들은 1,000나노미터등 특정파장대의 적외선차단율값을 적외선 영역대의 평균 차단율인 것처럼 고 객들에게 홍보하는데 필름메이커들이 자체적으로 보유한 적외선 차단율 테스터기는 자사 제품의 적외선 차단율 데이터가 잘 나오도록 특정 포인트의 수치 에 맞게 세팅되어 있습니다. 다시 말하자면 일부 필름메이커들이 보유한 테스터기는 공식적인 테스터기도, 필름협회에서 표준화된 테스터기도 아닌 자사에 유리하도록 세팅된 것 입니다. 태양열은 운전에 불편을 주지만 인체건강, 특히 피부건강에 밀접한 관련이 있는 것은 자외선 차단력임을 기억해 주십시오. 5. 아울러 제조원에서 정한 보증기간대로 시행하지 않고 임의로 부풀려 보증기간을 확대 하여 고객들에게 잘못된 제품보증을 하는 일부 업체 제품에 대해서도 주의를 당부드립 니다. 저희 루마필름은 제조원인 미국 씨피필름사의 스펙에 따라서 정확한 보증기간과 데이터를 고객님들께 제공해 드리고 있습니다. 수많은 브랜드가 있지만 브랜드의 표준은 단 하나, 루마필름입니다!!!"
97,제2회 루마필름 아시아-태평양 차이나 컨퍼런스,2010.06.11,5698,"지난 5월 25일부터 27일까지 3일간 제2회 루마필름 아시아-태평양 차이나 컨퍼런스가 중국 상하이에서 열려 한국, 일본, 대만 , 호주, 태국, 인도네시아 등 중국을 포함한 10개국 국가별 총판이 참석한 가운데 당면한 마케팅 현안에 대하여 활발한 토론이 이루어졌습니다. 이 자리에는 솔루시아 본사 마케팅 총괄담당 책임자와 아시아지역 책임매니져 등 본사와 지역 기술 및 마케팅 담당자들이 모두 참석하여 아시아 시장에 대한 본사의 뜨거운 관심을 반영하였습니다."
96,6월 MBC 라디오/ DMB 스케쥴 입니다.,2010.05.21,5221,무더운 여름.. 자외선 99.9% 루마 필름과 함께 시원한 여름 보내세요~ (라디오/ DMB광고 스케쥴표 업로드 파일 참조)
NOTICE,[공지] 루마버텍스는 미국 제조원의 정식제품입니다,2022.10.31,13001,"썬팅업계와 일부 커뮤니티 에서 루마 버텍스 제품은 한국과 중국에서 제조된 제품이고 한국에서 별도로 만든 제품이라는 잘못된 정보를 전달하고 있어서 바로잡으려고 공지합니다 . 루마 버텍스는 미국 제조원에서 직접 생산하는 루마 브랜드의 프리미엄 윈도 틴팅 필름입니다. 버텍스(VERTEX)는 미국 제조원에서 한국특허청(등록번호 4500446820000) 에 등록한 정식 상표입니다 . 일부에서 나도는 루마 버텍스 제품에 대한 가짜 정보와 달리, 루마 버텍스는 미국 버지니아에 있는 제조공장에서 완제품을 생산한 오리지널 제품을 국내에 들어오고 있으며 , 제조원으로부터 엄격히 관리됩니다. 국내에는 썬팅브랜드가 100여개나 된다고 합니다. 이중에서 대부분이 제조원이 아닌 편집, 하우스 브랜드입니다. 즉, 기성제품을 편집, 다시 브랜드화한 브랜드라는 의미입니다. 하우스 브랜드의 특징은 제품의 출처를 밝히지 않을 뿐만아니라 국내 제품임에도 독일, 유럽, 미국 제조라는 애매한 문구를 집어넣어 원산지를 알 수 없게 만듭니다. 특히, 외국 브랜드라 하더라도 라이센스 피만 주고 국내제품을 도입한 사례도 있고, 국내 제품을 사용하면서 미국제품처럼 원산지를 호도하는 브랜드도 있습니다. 그런 점에서 볼 때 루마 브랜드는 오리지널 미국 제조원 제품을 그대로 들여와서 국내 고객들에게 공급하고 있기 때문에 원산지 및 출처가 확실한 제조원 제품으로 가장 신뢰할 수 있는 브랜드로 자리매김하고 있습니다. 루마브랜드는 1993년부터 근 30여년 동안 국내 영업을 지속하면서 많은 고객으로부터 사랑을 받고 있으며, 썬팅시장을 선도하며 한국 썬팅시장의 역사로 자리매김하고 있습니다. 루마썬팅은 앞으로도 신뢰받는 품질과 서비스 제공을 위해 더욱 노력하겠습니다. 대한민국특허청 상표등록원부 국내입고"
NOTICE,[공지]루마 코리아 정식유통 제품의 시공 및 불법 유통제품 주의에 대한 안내문,2022.03.18,15800,"루마 공식 인증점 및 루마 고객님들께 안내 말씀을드립니다 . 최근에 루마 공식 인증점이 아닌 시공업체에서 루마 코리아를 통해 정식으로 유통되지 않은 불법 유통 제품으로 시공이 이루어진 후, 그 업체에서 본사 보증 포맷과 유사한 형태로  자체 품질보증서를 발행해주는 사례가 포착되고 있습니다 . 이로 인해 루마 코리아의 정식 보증서비스를 제공받지 못하거나 , A/S 거부, 업체 폐업 등으로 인한 고객 피해가 발생하고 있습니다 . 아울러 루마 코리아 홈페이지내 보증조회 가 되지 않는 비공식적인 품질보증서에 대해서는 보증을 하지 않음을 안내해 드립니다 . 모든 루마 버텍스 필름은 루마 코리아의 인증업체를 통해서만 고객분들께 시공되며 , 루마 코리아 인증 공식업체 리스트 는 루마 코리아의 홈페이지를 통해 고객님들께 안내해 드리고 있습니다 . 루마 코리아 공식 인증점에서 시공 받으시는 루마버텍스 제품은 시공 후 루마 코리아 본사 홈페이지를 통해 품질보증서 ( 디지털 보증 ) 를 발행하여 고객에게 제공하며 , 루마 코리아 홈페이지의 보증조회 서비스를 통해 확인이 가능합니다 . 따라서 루마 버텍스 제품에 대한 정식 품질보증서를 받으셨더라도 루마코리아 홈페이지 및 본사 통합 전산자료를 통해 조회가 불가한 품질보증서에 대해서는 어떠한 보증 서비스도 제공하지 않습니다 . 루마 코리아는 어떠한 경우에도 불법 유통을 용납하지 않으며, 오로지 정품 필름만을 취급 / 유통하고 정식 품질보증서 발급을 통해 공식 인증점 및 소비자의 권익을 지키는데 앞장서고 있습니다 . 루마 코리아는 앞으로도 공식 인증점과 루마를 사랑하는 소비자의 권익을 지켜 나가기 위해 불법 유통 시공 및 비정상적인 품질보증서 발행에 대해 보다 철저한 관리와 감독을 실행할 예정이며 , 불법으로 유통되고 있는 제품에 대한 다양한 법적 제재를 강구할 방침입니다 . 루마 품질보증서 조회 바로가기 http://www.llumar.co.kr/sub_support/original.php 루마 공식 인증업체 확인 바로가기 http://www.llumar.co.kr/sub_branch/automotive_list.php 루마 코리아 고객지원팀 배상"
95,5월 MBC 라디오/ DMB 광고 방송스케쥴 표 .,2010.04.27,5653,"2010년 5월!! 루마 광고방송이 DMB와 라디오에서 동시에 방영됩니다. 전국적으로 방영되고 있는 루마의 ""빛을 압도한다"" MBC 라디오 광고 (FM4U, 91.9 MHZ 이문세/ 배철수 방송 외)와 ""창문은 안다""편  DMB 광고(DMB 전 채널에서 확인가능!!)는 개성 넘치는 카피와 이미지 구축으로 이미 소비자들의 좋은 호응을 얻고 있습니다. 현재 진행중인 루마 광고! 루마를 사랑하는 분들의 많은 관심 부탁드립니다!! (자세한 시간표는 업로드 파일을 참고하세요)"
94,홈페이지 리뉴얼 기념 이벤트 당첨자 발표,2010.04.15,5888,
93,전북 루마썬팅 기술 세미나 소식,2010.03.23,6040,"안녕하십니까 루마 전북총판 소식입니다. 지난 3월22일 전라북도 루마필름 대리점 사장님과 루마가족 일동은 한 자리에 모여 '루마필름 바로 알기' '고객 만족을 위한 기초 준비 과정' 교육을 진행하고 더불어 품격 높은 시공 서비스를 제공하기 위한 실습 교육을 가졌습니다. 이번 교육의 목적은 루마필름 브랜드에 걸맞는 기본적인 소양 교육을 비롯해 품격 높은 기술을 알리고 숙련된 노하우로 기술을 연마하여 고객님께 더 좋은 서비스를 제공하고자 하는데 있습니다. 또한 국내 썬팅 시장의 포화를 극복하여 브랜드가치를 높이고자 하는 전라북도 루마썬팅 전문샵의 결의를 다지고, 기술공유로 루마 필름 브랜드의 균일한 시공서비스를 제공하기 위한 것이기도 합니다. 향후에도 저희 전라북도 루마전문점 대리점 일동은 품격 높은 시공 서비스를 고객님께 제공하기 위해 최선을 다하겠습니다. 감사합니다."
92,'빛을 압도하는 루마 썬팅 ' MBC 라디오 편성표 입니다.,2010.03.09,6097,'빛을 압도하는 루마 썬팅 ' MBC 라디오 편성표 (MBC FM4-U 91.9MHZ) 매체 프로그램/SB 방송시간 MBC-FM 굿모닝 FM오상진입니다 4부 08:30~09:00 오늘아침이문세입니다 3부 10:00~10:30 최은경의 음악동네 2부 16:30~17:00 배철수의 음악캠프 3부 19:00~19:30 새봄을 맞아 진행중인 MBC 라디오 편성표 입니다. (방송 사정에 따라 약간의 오차가 있을 수 있습니다.) 루마광고에 대한 관심과 애정 부탁드립니다.
91,소비자 피해사례 접수,2010.02.10,6526,"스타렉스 차량(70서 27xx)을 몰고 다니면서 개인적으로 루마 하이텍필름을
시공한다고 선전하고 다니는 사람이 있습니다.(은평구/서대문구 일대)
보증서도 발급해 준다고 하여 믿고 체어맨w차량을 시공하였으나 
전문점 필름이 아닌 일반 보급형 필름으로 시공했고 
보증서도 주지 않고 시공도중에 발생한 것으로 추측되는
유리 스크래치가 다수 발생하여 본사로 피해자신고가 접수된 상태입니다.
이와 유사한 사례가 전국적으로 많이 있을 것으로 생각됩니다.

루마 프로급 이상 전문점용 필름은 본사 홈페이지에 등록된 공식
시공점에서만 시공이 가능하며 출장시공이 아닌 시공점내에서만
시공하므로 고객님들께서는 반드시 공식시공점에서 시공하신 후 
품질 보증서를 발급받으시길 바랍니다."
90,10월 루마 시공점 오픈 소식,2009.11.04,7772,"서울
관악 사당점: 151-926 서울 관악구 남현동 1054-9 1층/ 02-598-1789/

대구 
대구수성 범어점: 706-010 대구 수성구 범어동 805-1 /053-761-8998 

경북
포항남구대도2호점:  790-823 경북 포항시 남구 대도동 155-7 /054-281-5815 

부산
해운대 3호점:부산해운대3호점 612-010 부산 해운대구 중동 916 2층201호/ 051-611-1117 

전라
광주 첨단점: 506-303 광주 광산구 쌍암동 694-108 / 062-973-0818 

축하합니다.

성업하세요!!"
89,9월 루마 시공점 오픈 소식,2009.10.01,6453,"신규 오픈점 소식!!

경기 성남 수정구 점(9월 28일)
경기 판교 궁내점(9월 25일)
충남 보령점(9월 28일)
광주 전대점 (9월 12일)

이번달 총 4군데 시공점이 문을 열었습니다.
루마 가족이 된 것을 축하드리며
성업하시길 기원 합니다."
88,8월 루마전문시공점 오픈소식,2009.09.03,6419,"8월 한달간 오픈한 루마시공점은 총 11곳으로, 다음과 같습니다. 지역 8월 서울 서부역 경기∙인천 군포금정 대전∙충청 아산실옥
대전신탄진 광주∙전남 남구진월(광주전남총판)
광양중동 대구∙경북 대구수성시지 부산∙울산∙경남 거창
창원소계
울산남구3호
창원팔용 루마필름에 대한 많은 관심에 감사드리며,
이에 보답하는 루마필름이 되도록 항상 최선을 다하겠습니다."
87,"5, 6, 7월 루마시공점 오픈소식",2009.07.31,5691,"지난 3개월간 오픈한 루마시공점은 다음과 같습니다. 지역 5월 6월 7월 서울 - 송파잠실
양천 - 경기∙인천 인천부발 안산시화
일산백석
부천상동
수원팔달 고양토당
용인행정타운
수원신영통 대전∙충청 - 논산, 청주복대 - 강원 - 춘천퇴계 - 대구∙경북 칠곡북삼 대구북대구 달서상인 부산∙울산∙경남 - 부산덕천 - 이상 총 17곳입니다.


루마필름에 많은 관심을 기울여주셔서 감사드리며,
앞으로도 더욱 발전하는 루마필름이 되도록 항상 노력하겠습니다."
86,노후차량 교체 세재지원 연말까지 유지될 전망,2009.07.29,6380,"Good News for LLumar film and the customers '노후차 세금감면제'가 지속될 것이라는 정부 입장은 루마필름에게 긍정적 영향을 미칠 것입니다. 2분기, '여름'이라는 계절적 특성과 세재지원혜택으로 필름판매량이 급증한 것이 3, 4분기로까지 지속될 전망입니다. 대부분의 사람들이 썬팅을 자동차구매의 ""필수요소"" 로 인식하고있습니다. 더불어 정부가 경기부양책의 일환으로 신차구매를 장려함에 따라, 많은 구매자들이 썬팅필름의 대표브랜드인 루마필름 을 선택하기 때문에 판매증대효과를 기대할 수 있습니다. 이는 루마본사뿐만 아니라 루마전문시공점, 소비자에게 상호이익이 되는 'win-win' 정책으로 모두에게 기쁜 소식이 될 것입니다. 노후차량 세재지원혜택 5월 1일부터 정부의 '노후차 세금감면제'가 시행되면서, 노후차량에서 새차로 바꿀 때 개별소비세와 취득·등록세를 70% 감면 혜택을 받을 수 있어 6월 판매량이 전월대비 17%가량 증가했습니다. 이러한 세재지원혜택은 9월에 종료될 예정이었으나 정부는 이를 연말까지 유지하는 데 긍정적인 입장을 취하고 있습니다.

정부는 3분기 성장률이 2분기보다 낮아질 것으로 예상하고, 민간의 투자와 소비가 경기회복의 모멘텀을 이어갈 수 있도록 하는 방안을 검토중에 있습니다. 특히 노후차 세제지원으로 지난 5월과 6월, 1년 각 월대비 15%, 46% 증가한 것으로 집계됐습니다. 게다가 세제지원책이  2분기 성장률을 무려 0.8%포인트(전년 동기 대비)나 끌어올리는 등 내수 부양에 큰 영향을 미치고 있는 것으로 평가되고 있습니다. <참고 : 자동차산업의 중요성> 자동차산업은 하청업체가 수백개에 달하기에 다른 업종보다 고용창출 효과가 크고 내수 및 GDP에 영향을 끼칠만큼 그 역할이 크다고 할 수 있습니다. 특히 한국의 경우 경기불황으로 인해 10년 이상 된 차량을 교체하지 않고 있기 때문에, 내수에 큰 영향을 끼칠 수 있습니다.

 미국의 서브프라임으로 시작된 경제위기가 세계경제에 까지 영향을 끼치면서, 미국 정부 역시 GM과 크라이슬러 등에 대해 250억달러를 지원하기로 하였으며, 오바마 대통령은 당선 후 지원 규모를 500억달러까지 확대할 것임을 시사하기도 했습니다. 또한 신차 구입자에게 자동차 판매 소비세에 대해 소득공제를 해주는 세제 혜택 방안을 포함시켰습니다.

유럽 역시 다양한 지원책을 기반으로 내수살리기에 총력을 기울이고 있습니다. 프랑스는 10년 이상된 중고차를 폐차한 후, CO₂배출량 160g/㎞ 이하인 신차 구매시 1000유로를 지원하고 있으며, 영국을 비롯한 이탈리아·스페인 등 유럽국가들도 폐차 인센티브제도를 실시하고 있습니다. 이러한 정책들은 국가 경제에 있어 자동차산업의 중요도가 높음을 시사해주는 것이며, 미국·
독일·영국·일본 등 자동차산업을 핵심 동력으로 보는 국가들에게는 더욱 중요합니다.


루마필름은 자동차산업과 관련성이 높은 윈도우필름회사이기에 자동차산업과 정부 정책의 흐름을 파악함으로써 루마필름의 활동에 큰 도움을 줄 것입니다. 2009년 하반기도 새롭게 도약하기를 바라며, 뜨거운 성원과 따뜻한 관심 부탁드립니다."
85,루마가족 한마음 축제 소식,2009.05.28,5737,"세계적인 명품 루마필름은 지난 5월24일 대구, 경북 루마 지역 한마음 축제를 가졌다. 경남 합천에 소재한 새터관광지에서 치러진 이번 행사는 대구 경북 루마가족 모두가 참여하는 축제 한마당이다. 이번 축제를 통해 자녀들에게 일만 하는 아빠에서 이날은 가족과 늘 함께하는 가장으로서 느끼는 가슴뿌듯한 가족애를, 그리고 이 지역 루마점들간의 만남과 화합으로 끈끈한 동료애를 마음속 깊이 체험할 수 있는 의미깊은 행사로 진행되었다. 약 한 달간의 준비기간을 거쳐 기획하고 준비한 이번 한마음 축제에는 대구경북 지역의 관련업체 뿐만아니라 전국의 지역별 루마 협회에서 축하사절단이 파견되어 대구경북만의 축제가 아닌 전국 루마행사로서의 면모를 가질만큼 성대하게 치루어졌다. 이번 한마음 체육대회는 3번째 치러지는 것으로 루마브랜드가 존재하는 한 이 행사는 계속되어질 것이다. 루마필름이여 영원하라!! [Copyrightⓒ. 루마편집부]"
84,4월의 루마점오픈소식,2009.04.29,5856,"4월의 루마점 오픈소식입니다.
인천서구 검단점(032-565-7772).....정식오픈
경기광명점(02-2613-3086).....정식오픈
대구 동대구점(053-959-0033).....정식오픈
강남 압구정점(02-540-5800).....4/30 오픈예정
부산진구 범전점(051-817-7730).....4/30 오픈예정

감사합니다."
83,루마필름 유사품 주의안내문,2009.04.18,7831,"루마필름의 유사품이 유통되고 있습니다.
유사품에 주의하십시오.

루마 프로페셔널 필름(루마스탠다드를 제외한 모든 루마제품)은 루마지정 공식인증업체인 루마지정 루마시공점에만 공급되고 시공되어집니다.

루마 프로페셔널 필름(루마프로, 루마스타, 슈퍼럭스, 윈쿨, 피너쿨 등)은 
정확한 품질인증과 시공완성도를 위하여 출장시공을 하지않으며
또한 차종별 개별포장으로 재단하여 유통되지도 않습니다.

루마필름은 꼭 루마지정 공식인증업체에서 서비스 받으시기 바랍니다.
그래야만 고객의 피해를 막을 수 있습니다. 

루마필름은 앞으로도 정확한 제품과 수준높은 시공력으로 고객님께 다가가겠습니다.
많은 성원 바랍니다.
감사합니다."
82,루마썬팅필름관련 매체보도,2009.04.03,5266,"아래의 활성창을 클릭하시면 해당기사로 링크됩니다.
많은 관심과 접속바랍니다.
감사합니다. 

미국대사 스티븐스님의 루마필름 방문 관련기사입니다. 스티븐스 미 대사의 각별한 미국차사랑 [머니투데이 김보형기자] LIST"
81,루마필름 2009서울모터쇼 참가 소식,2009.04.03,5089,"`Beautiful Technology, Wonderful Design`을 주제로 한 
`2009 서울모터쇼`가 2일 경기도 고양시 킨텍스에서 언론 공개행사를 시작으로 개막했습니다. 
올해로 7회째를 맞은 서울모터쇼에는 국내외 업체들이 세계 최초로 선보이는 완성차와 
컨셉트카 9종을 비롯해 신차 23종을 선보였습니다. 
참가 업체들은 경기 침체기에 인기가 높은 고연비 차량과 
친환경을 강조하는 분위기에 맞게 `작지만 강한 그린카`를 대거 내놓았습니다. 
루마필름에서는 에너지절감효과가 높은 고효율 고투명 윈도필름과 
차량탑승객의 안전과 편의성을 높인 안전강화용 루마매그넘필름을 전시하고 있습니다.
루마전시관에서 루마필름의 품질과 명성을 체험하실 수 있습니다.
많은 관람과 성원 바랍니다."
80,3월의 루마점오픈소식,2009.04.02,4950,"3월에 오픈된 루마점 안내입니다.

서울동작상도점(02)812-8585
인천서구검단점(032)565-7772
경기광명점(02)2613-3086
울산북구진장점(052)227-0333
경남합천점(055)932-0696

루마필름의 품질을 이제 고객의 가장 가까운 곳에서도 만나실 수 있습니다.
루마점의 많은 이용바랍니다.
성원에 감사드립니다."
79,True Prestige 뉴에쿠스 시공사례,2009.03.23,5163,"측*후면 루마스타 15 적용
* 루마스타 / LLumaStar (매스티지-대중명품)

루마스타는 유리를 통해 유입되는 태양에너지를 효과적으로 그리고 확실하게 차단해 주는 우수한 
기능을 가진 하이클래스 하이퍼포먼스 필름입니다. 

루마스타는 일반적인 컬러필름과 달리 높은 열차단을 제공하며 우수한 선명도로 야간 주행에도 안전성을 제공합니다. 
루마스타는 탈*변색에 강한 루마스타 공법의 특수염색기술, 이중으로 처리된 자외선차단막, 높은 열차단을 위한 하이테크 저밀도 메탈릭 레이어와 선명도를 위한 투명접착시스템, 필름의 유지관리가 편한 강력한 표면흠집방지 코팅으로 이루어져 있습니다. 
루마스타의 저밀도 메탈릭 레이어는 일반적인 메탈필름과 달리 차량의 전파수신 장애를 최소화하였습니다. 

루마스타의 기능. 
1, 유해한 자외선의 99%이상 차단 
2, 뜨거운 태양열의 효과적인 차단 
3, 붉은색으로 탈색 되지 않는 Deep 다이드 테크놀로지 (No Color Change) 
4, 주야간 안전성을 확보한 필름의 선명도 
5, 프라이버시를 위한 다양한 선택 
6, 스타일리쉬 컬러 디자인"
78,2009 루마점 오픈예정점 소식,2009.02.07,5263,"루마점 오픈관련 소식입니다.
1월 오픈점
부산금정 부산대점 (051)581-8088

2월 오픈예정점-내부공사중
군산 수송점 (063)451-7700
군산 시청점 (063)451-0301
경북 상주점 (054)536-6069
울산 북구점 (052)269-3201
경남 함양점 (055)963-4997

2009년에도 루마점의 행진은 계속됩니다.
성원에 감사드립니다."
77,루마 체육대회 소식,2008.12.03,5468,"부산경남 루마협의회가 주관하고 
부산,경남,울산지역의 루마점 관계자 및 온 가족이 참석한 
""루마가족체육대회""가 
2008년 11월23일 경남양산 해운공원 실내체육관에서 성대하게 열렸다.

이번행사의 대회장이자 루마부산경남협의회 조해식대표는 개회사를 통해 
""모두가 하나""되는 역사적인 순간을 맞이하여 
서로 믿고 따라 준 부산경남 루마점의 전폭적인 신뢰와 지원에 감사하면서,
 이 시대의 진정한 최고의 자리에 설 수 있는 루마점이 될 수 있도록 헌신을 다 할 것을 공포하였다.
루마본사의 김우화ceo는 축사를 통해 
루마발전의 중추적인 역할을 담당해온 이 지역 루마점의 노고를 치하하면서 
어려운 시기일지라도 할 수 있다는 자신감과 
루마브랜드에 대한 자부심을 잃지 말 것을 당부하셨다.

루마본사 임직원 및 관련업계 참관단을 모시고 열린 이번행사는 
가족단위의 다양한 프로그램을 통해 
가장으로서의 역할과 가정의 소중함을 절실하게 깨달았고, 
지역별 체육대회를 통해 루마점간의 결속력을 강화하는 계기가 되었다. 
행사의 막바지인 장기자랑에서는 그동안 숨겨둔 끼를 마음껏 발산하며 
모두가 한 마음되는 즐거움과 기쁨, 감동의 연속이었다.

약 1달간의 준비기간을 거쳐 마련한 이번행사는 
행사일 전까지도 궂은 날씨와 낮은 기온으로 준비위원회가 노심초사 하였지만 
행사당일은 날씨마저 화창하고 포근하여 축복받은 루마가족체육대회가 치러질 수 있었다.

이번 루마가족체육대회를 통해 루마의 결속력과 루마브랜드에 자부심, 
성공적인 사업의 비전을 가짐으로 2008년에 이은 
2009년 루마의 성공을 확신한다.

루마 임상화기자"
76,11월의 루마점 오픈예정 소식,2008.11.17,5305,"11월에 오픈예정인 루마샵 소식입니다.

인천남동2호점(내부공사중) 전화:(032)426-8284
경북영주점(내부공사중) 전화:(010)6368-7131
경기안양 만안구점(내부공사중) 전화:(031)444-8877

이상 3곳의 루마점이 오픈을 기다리고 있습니다.
많은 성원 부탁드립니다.
감사합니다."
NOTICE,[공지] 루마버텍스는 미국 제조원의 정식제품입니다,2022.10.31,13002,"썬팅업계와 일부 커뮤니티 에서 루마 버텍스 제품은 한국과 중국에서 제조된 제품이고 한국에서 별도로 만든 제품이라는 잘못된 정보를 전달하고 있어서 바로잡으려고 공지합니다 . 루마 버텍스는 미국 제조원에서 직접 생산하는 루마 브랜드의 프리미엄 윈도 틴팅 필름입니다. 버텍스(VERTEX)는 미국 제조원에서 한국특허청(등록번호 4500446820000) 에 등록한 정식 상표입니다 . 일부에서 나도는 루마 버텍스 제품에 대한 가짜 정보와 달리, 루마 버텍스는 미국 버지니아에 있는 제조공장에서 완제품을 생산한 오리지널 제품을 국내에 들어오고 있으며 , 제조원으로부터 엄격히 관리됩니다. 국내에는 썬팅브랜드가 100여개나 된다고 합니다. 이중에서 대부분이 제조원이 아닌 편집, 하우스 브랜드입니다. 즉, 기성제품을 편집, 다시 브랜드화한 브랜드라는 의미입니다. 하우스 브랜드의 특징은 제품의 출처를 밝히지 않을 뿐만아니라 국내 제품임에도 독일, 유럽, 미국 제조라는 애매한 문구를 집어넣어 원산지를 알 수 없게 만듭니다. 특히, 외국 브랜드라 하더라도 라이센스 피만 주고 국내제품을 도입한 사례도 있고, 국내 제품을 사용하면서 미국제품처럼 원산지를 호도하는 브랜드도 있습니다. 그런 점에서 볼 때 루마 브랜드는 오리지널 미국 제조원 제품을 그대로 들여와서 국내 고객들에게 공급하고 있기 때문에 원산지 및 출처가 확실한 제조원 제품으로 가장 신뢰할 수 있는 브랜드로 자리매김하고 있습니다. 루마브랜드는 1993년부터 근 30여년 동안 국내 영업을 지속하면서 많은 고객으로부터 사랑을 받고 있으며, 썬팅시장을 선도하며 한국 썬팅시장의 역사로 자리매김하고 있습니다. 루마썬팅은 앞으로도 신뢰받는 품질과 서비스 제공을 위해 더욱 노력하겠습니다. 대한민국특허청 상표등록원부 국내입고"
