No,제목,작성일,조회,본문
31,Team TC 모닝 우승 소식 입니다 -루마 협찬  [자동차 신문 ],2012.11.01,11562,"작지만 강한차 모닝 영엄 서킷을 비상하다! [877호] 2012년 10월 31일 (수) 17:56:41 영암 장병록 기자 byoroc@hanmail.net Team TC(팀장 박민우)가 지난 27일 전남 영암 코리아 인터내셔널 서킷에서 열린 2012 코리아 모터스포츠 통합대전 중 또 하나의 대회 HANKOOK DDGT 챔피언십 정규 클래스에 참가했다. 순수 아마추어 선수들로 구성된 Team TC는 지난해 7월부터 본 대회에 참가하고 있으며 이번 대회에는 15명의 선수를 구성하여 참가했다. Team TC는 지난 3월 24일 DDGT TT-100 클래스에 처음(1라운드) 출전했다. TT-100은 1600cc이하 & 200마력 이하의 차량이 참가하여 25분간 달려서 그 중 한 바퀴를 가장 빠르게 달린 차량이 1위를 차지하는 경기이다. 이날 경기에서 Team TC는 경쟁 차량 대비 600cc가 작은 1000cc 모닝으로 대회에 출전하여 우승을 차지했다. 작지만 강한 경차로 입상을 얻어내는 큰 수확을 올린 것. 그러면서 지난 27일 열린 DDGT TT-100클래스 6라운드를 우승으로 장식했으며 올해 열린 전 경기를 우승해 통합우승을 차지했다. DDGT TT-100클래스 통합우승자 Team TC 박민우 팀장은 “경차는 작고 느리고 위험한 차라고 일반인들이 인식하는데 저는 그게 아니라고 생각 한다”고 전하면서 “경제적이며 내가 운전하는 데로 재빠르게 움직여 주고 길지 않은 동체로 인해 매우 인상적인 핸들링, 약간의 출력상승에도 다이나믹한 퍼포먼스를 보여주는 멋진 자동차”라고 설명했다."
30,월간 와인 9월호에 실린 김우화 대표이사 커버 기사 및 광고,2012.09.17,11589,
29,중앙일보 [200자 경제뉴스] 썬팅필름 '버텍스' 태양열 70% 차단,2012.08.09,11127,
28,운전시 자외선 차단의 중요성 [SBS 8시 뉴스],2012.04.30,23196,운전시 자외선 차단의 중요성은 아무리 강조해도 지나침이 없을 것이라고 생각합니다만. 그 차이를 명확히 드러내는 뉴스 보도입니다. 매일 2시간 이상 장거리 출퇴근을 한 여성의 경우 운전석창가 반대편 그늘이 지는 쪽의 얼굴에 비해 창가쪽에 위치한 얼굴의 노화현상이 급속히 진행되어 주름이 훨씬 많아지는 현상을 볼 수 있습니다. 이는 유리창을 통하여 차안으로 입사된 자외선이 피부탄력을 유지시키는 콜라겐 단백질을 파괴했기 때문입니다. 자외선은 여름철의 강한 햇빛뿐만 아니라 가을철 선선한 날씨 가운데서도 예외가 없습니다. 당신의 피부건강을 위하여 완벽 자외선 차단-루마썬팅필름을 차유리에 시공하십시오!!! 관련 보도내용 참고 : http://news.sbs.co.kr/section_news/news_read.jsp?news_id=N1000816629
NOTICE,뉴스2데이 [인물탐구] 루마썬팅 김우화 대표 - 수많은 최초신화로 혁신적 마케팅의 위력 입증,2018.09.25,8487,"[ 인물탐구 ] 루마썬팅 김우화
대표 ② 성과 : 수많은 ‘ 최초
신화 ’ 로 혁신적 마케팅의 위력 입증 수많은 ‘최초 신화’ 쓰면서 시장을 키우고 업계 1 위 굳혀 ( 뉴스투데이 = 김성권 기자 ) 똘아이 , 돈키호테 , 이단아 , 무대뽀 , 엉뚱한 놈 , 정신
나간 놈 등…김우화 씨피에프 (CPF) 루마코리아 회장을 따르는 수많은 수식어들이다 . 루마코리아의 전신인 아코상사도 선팅과는 무관해 보이는 ‘한국의 예술이 되자’는 엉뚱한 발상에서 나왔다 . 이러한 수식어들이 꼬리표처럼 따라 붙을 정도로 김 회장은 선팅 업계에서 수많은
‘최초 신화’를 작성했다 . 그 최초 신화야말로 미약한 후발주자가 시장의 파이 자체를 확대하면서
확고부동한 업계 1 위로 자리매김하는 핵심적인 동력이었다 . 자동차 선팅에 브랜드를 입혔고 , TV 광고를 내보낸 것도 업계 최초였다 . 김 회장은 ‘장사하지 말고 마케팅하라’는 말을 입에 달고 다닌다 . 단순히
물건을 많이 팔아 매출을 올리기보단 물건의 가치를 파는 마케팅 경영이 시장에서의 승패를 좌우한다고 판단한 것이다 . 따라서 루마썬팅이라는 업계 1 위의 기업을 배출한 것 못지않게 혁신적 마케팅의 위력을 입증한
것이 김 회장이 거둔 중요한 성과로 평가된다 . 중략~ 원문보러가기 http://www.news2day.co.kr/111255"
NOTICE,뉴스2데이 [인물탐구] 루마틴팅 김우화 대표 - 썬팅업계를 뒤집은 역발상의 승부사,2018.09.23,8400,"[인물탐구] 루마윈도틴팅 김우화 대표 ① 경력: 삼성전자 나와 썬팅업계를 뒤집은 역발상의 승부사 선팅 산업을 창조한 김우화 회장, 4시간의 인터뷰 통해 삶과 희망 그리고 성공을 논해 (뉴스투데이=김성권 기자) 자동차 운전자에게 차량 선팅은 필수적이지만 으레 자동차 출고 시 딜러가 소비자에게 제공하는 부가적인 서비스에 불과했다. “루마에 가면~”, “거봐~ 루마썬팅하길 잘했지!”라는 TV광고 카피가 등장하기 전까지만 했어도 그랬다. 우리나라 선팅필름 업계 1위 기업인 씨피에프(CPF) 루마코리아의 김우화 회장도 필름의 ‘필’자도 몰랐다고 한다. 김 회장은 자동차에 필름을 바른다는 개념조차 없었던 1990년 초반 덜컥 썬팅필름업계에 뛰어들었다. 이후 업계에서 ‘똘아이’ ‘이단아’ ‘돈키호테’ ‘엉뚱한 놈’ ‘정신 나간 놈’이라는 소리를 들으면서 주목을 받기 시작했다. 동시에 ‘루마썬팅’이라는 브랜드가 대중들에게 각인됐다. 한국에서 자동차 선팅 자체가 산업으로 자리잡은 건 김 회장의 ‘마케팅’에서 비롯됐다. 후발주자로 레드오션 시장에 뛰어들었지만 업계 1위로 올라서는 데는 불과 4년밖에 걸리지 않았다. 그가 ‘마케팅의 신’으로 불리는 이유다. 선팅 필름과는 전혀 무관했던 그가 루마썬팅의 회장까지 올라선 계기는 잘 다니던 삼성전자를 뿌리치고 나와서부터였다. 김 회장은 지난 달 28일 루마코리아 사옥에서 기자와 무려 4시간 동안 인터뷰를 가졌다. 장시간 진행된 인터뷰 내내 지친 모습없이 열정적으로 삶의 역정과 꿈 그리고 성공에 대해 논했다. 김 회장은 일류기업인 삼성전자에서 나와 사업에 뛰어든 이유에 대해 솔직하게 답변했다. “가난에 찌들어 살던 어린 시절 우연히 검은 지프에 탄 국회의원이 지라시를 뿌리는 모습이 멋져보여 국회의원이 되고 싶었다. 국회의원이 되려면 능력이 있거나 돈이 많아야 한다고 생각했고, 우선 돈버는 것을 목표로 삼게 됐다” 중략~ 원문보러가기(뉴스2데이) http://www.news2day.co.kr/110357"
NOTICE,[인터뷰기사] 문화일보 골프와 나에 소개된 루마코리아 김우화 대표이사,2018.01.23,8683,"문화일보, 스포츠 - 골프와 나에 소개된 루마코리아 김우화 대표이사 ‘ 선팅 神話 ’ 처럼 5 년만에 언더파 … “ 빈스윙 체크가 실력향상 비결 ” 건강 위해 30 代 초반 골프 시작 독학 1 년여 만에 70 대 打 진입 홀인원 지금까지 4 차례나 경험 KPGA 시니어투어 5 년 후원도 자동차 선팅에 첫 브랜드 도입 연 15 만대 … 27 년간 정상 유지 私財 로 복지재단 15 년째 운영 “ 골프도 일도 똑소리 나야 정상 ” ‘ 루마썬팅 ’ 신화를 일군 김우화 (71) 씨피에프 루마코리아 ㈜ 회장은 마케팅 전도사다 . 2015 년 펴낸 저서 ‘ 나는 어떻게 1 등 브랜드를 만들었는가 ’ 를 통해 “ 개성상인들이 장사는 잘했지만 , 삼성전자나 현대자동차가 될 수 없었던 것은 장사와 마케팅의 차이에서 찾을 수 있다 ” 며 장사하지 말고 마케팅하라는 메시지를 전달하고 있다 . 김 회장은 최근 경기 하남시에 새 사옥을 마련하고 제 2 의 도약을 선언했다 . 새 사옥은 서울 강동구 올림픽공원과 하남시 초입의 외부순환도로 진입로를 지척에 두고 있다 . 지난 6 일 새 사옥 집무실에서 만난 김 회장은 “ 매년 신년은 경북 문경의 미오림 복지재단에서 시작한다 ” 고 귀띔했다 . 신년 사업 구상 발표와 함께 전국 9 개 루마 총판이 마련한 ‘ 사랑의 기금 ’ 전달식 , 그리고 복지재단 시설 견학을 진행했다 . 미오림 복지재단은 김 회장이 나눔을 실천하기 위해 2003 년 9 월 사재를 털어 설립했다 . 김 회장은 노인들을 위한 안락한 요양시설 , 사회 적응이 어려운 장애인을 위한 사회복지사업을 15 년째 펼치고 있다 . 김 회장의 골프 구력은 40 년 가까이 된다 . 김 회장은 삼성전자에 재직하던 1980 년 골프채를 처음 잡았다 . 비즈니스가 아닌 몸 관리를 위해서 골프에 입문했다 . 30 대 초반부터 건강에 신경 쓴 건 1973 년 수술 때문 . 병원에서 쓸개에 이상이 생겼다는 진단을 받았다 . 발병 원인도 몰랐다 . 담석이 생긴 것도 아닌데 구멍이 났고 검사를 해도 뚜렷한 원인을 알 수 없었던 것 . 김 회장은 “ 병명을 찾아내기 힘들었던 시절이었는데 , 참 운이 좋았다 ” 고 말했다 . 김 회장이 해온 모든 일이 그렇듯이 골프 역시 똑소리가 났다 . 골프 구력 5 년이 안 돼 4 언더파 68 타라는 놀라운 스코어를 남겼다 . 실력이 아깝다며 클럽챔피언전이나 아마고수대회에 참가하라는 권유를 많이 받았지만 다 뿌리쳤다 . 김 회장은 “ 골프는 건강을 위해서 하는 운동 ” 이라며 “ 딴생각을 하게 되면 건강에 도움이 되는 운동이 아닌 도구가 된다 ” 고 설명했다 . 원문보러가기 http://sports.news.naver.com/golf/news/read.nhn?oid=021&aid=0002339775"
27,[루마 판교 궁내점 기사] 썬팅하나 바꿨을 뿐인데.. 작열하는 여름이 즐겁다.,2011.08.11,12723,루마썬팅 판교궁내점 기사 입니다. 8월 13일 888호 내일 신문 기사 입니다. 기사 제목 : 썬팅명가 루마썬팅 판교궁내점 썬팅 하나 바꿨을 뿐인데.. 작열하는 여름이 즐겁다.
26,판교궁내점 내일신문 기사 내용-여름철 바캉스 자동차에도 썬크림이 필요하다.,2011.07.25,13471,"내일신문886호6면에 실린 루마썬팅 판교궁내점 신문기사내용입니다 판교궁내점 김일수 사장님의 내일신문 인터뷰 내용입니다. http://www.llumarstar.com/ 본문 내용 본격적인 피서 철을 앞두고 자동차 점검이 필요 한시점이다. 에어컨 냉각제는 충분한지, 바퀴 공기압은 적당한지 점검하지만 정작 문제는 여름철 작열하는 태양 아래 찜통같이 달아오르는 차로 인해 고역스럽다는점이다. 에어컨을 고단으로 틀어놔도 자동차의 열기가 쉽게가시지않고 의례히그러려니 하지만자동차썬팅에 문제가있다고는 생각하지못한다. 자동차를 구입하면 영업소에서 썬팅을 해주는 것이 일반적. 때문에 대개의 경우 어떤 제품으로 썬팅 시공이 되었는지 묻지도 따지지도 않는다. 기능이 떨어지는 저가의 썬팅필름이 부착된 경우 차량의 실내 온도와 자외선 차단에 효과를 기대하기 어려워진다. 요즘은 이 같은 사실을 알고 있는 사람들 사이에선 기능성 썬팅 필름으로 교체하거나 별도의 전문썬팅을 주문하곤한다. 이때 차량용 썬팅 필름으로 사람들에게 손꼽히는 것이바로‘루마썬팅’이다. 자동차의 열기와 유해광선 99% 차단 세계적인 윈도우 필름 생산업체인 미국 ‘CPFlims Inc’에서제조하는루마썬팅은적외선과 자외선 차단 썬팅 필름으로 유명한 곳이다. 특히 중국이나 동남아 OEM 방식이 아닌 미국에서 100% 주문 생산돼 나오는 제품으로 업계최초 ISO 9001 인증을받은곳. 루마썬팅필름 공식시공업체인 판교 궁내점의 김일수 대표는“제대로 된 썬팅은 차량에 자외선 차단 제를 영구히 발라주는 것과 같은 효과를 얻을 수 있다”고설명한다. 이 같은 예는 분당 구미동에 사는 이진선(39)씨의사례에서확인할수있다. 여름철 자동차 운전을 할 때면 선글라스와 소매토시를 필수적으로 착용해온 이씨. 도로 위에서 조 금만 운전을 해도 눈이 쉽게 피로해지고 핸들을 잡은 팔이 햇빛과 열기에 뜨거워지기 때문이었다. 게 다가 아이를 태우고 운전할 때면 뒷자리 햇빛 가리개도꼭챙겨야했다. 그러다 지인의 소개로 전문업체인 루마썬팅 궁내점에서 앞 유리를 포함한 차량 전체에 썬팅을 하고 난후 이씨는 요즘여름철운전에도 두려움이없다. “전에 비해 차 내부가 훨씬 시원해졌고 운전할 때 햇빛으로 인한 눈의 피로감도 거의 없어요. 썬팅 하 나만으로 이렇게 큰 차이를 보게 될 줄 몰랐어요. 아이도 뒷자리가 시원하니 긴 여행도 짜증 없이 가고 요. 진작 알았으면 할 정도로 썬팅의 효과에 만족하고있어요.” 15년 경력이 말해주는 썬팅의 전문가 15년 썬팅 시공경력을 자랑하는 김일수 대표는 “예전에는 썬팅이 프라이버시 위주였다면 요즘은 적외선과 자외선 등 유해광선을 차단해주는 기능이중요하게부각되고있다”고설명한다. 특히 루마 자동차용 필름은 유해한 자외선의 99% 이상을 차단하고, 뜨거운 태양열은 60% 이상 막아줘 쾌적하고 편안한 운전을 도와준다. 이런 강력한 열 차단 효과로 여름에는 실내 에어컨 사용량을 현저히 줄 일 수 있으며 자외선으로 인 한 피부 손상도 줄여준다. 또한 태양열로 인해 차량의 각종 구성부품과 네비게이션, 휴대폰 등과 같은 전자장비들도 보호할수있다. 김 대표는“루마의 자동차용 필름은 태양열차단 필름, 전면유리용 필름, 안전 방호용 필름 등 다양하 다”며“가격이 조금 비쌀 수 있지만 그만큼 기대되는 효과가 크다”고강조했다. 한편 루마썬팅 판교 궁내점은 전문시공업체로서의 자부심으로 제품에 따라 최대 7년에 이르는 품질 보증제도도 시행하고있다. 여기에 15년 외길로 달려온 썬팅 전문가인 김일수 대표는 본을 떠서 하는 일반적인 공법이 아닌 하 나하나 수공으로 작업하는 완벽함을 추구해 시공 고객들에게만족감을주고있다. ( www.llumarstar.com / 문의 : 031) 711-1515 자동차 썬팅의 최강 주자, 루마썬팅 판교 궁내점 바캉스 떠나기 전, 자동차에도 썬크림이 필요하다. 쿼츠 글라스 코팅은 고경도의 유리막을 형성하는 코팅으로서 일명 유리막코팅 이라고 부른다. 일본에서 개발된 최첨단 신소재로 페인트 보호는 물론 광택을 반영구적으로 유지 시켜준다. ..MADE IN JAPAN 자동차에 유리막을 입혀드립니다 쿼츠-글라스 코팅 ..운영시간 : 월~토요일 오전 8시30분~ 오후 8시까지(사전 예약시 야간, 주말에도 시공 가능) ..위치 : 성남시 분당구 궁내동 192-3 ..문의 : 031-711-1515 / 010-3342-8343 자외선/적외선 차단/피부보호 루마-웰빙 썬팅 당신의 멋진 웰빙 라이프 이제 차안에서도 즐기세요. ..기미, 주근깨, 피부암등을 일으키는 자외선 완벽차단 ..고성능 적외선(열)차단으로 냉방효과 상승 ..프라이버시 보호 ..MADE IN USA 자외선차단 99% 미국피부암재단 인증"
25,2009년 대구 MBC TV 광고,2011.05.05,11437,2009년 광고 입니다.
24,이뉴스투데이-오늘경제에 루마광고가 실렸습니다.,2011.05.04,8747,종합경제지인 온오프라인 신문- 오늘경제 2011 2월 28일(월) 9일자 9면 신문에 루마신제품 광고가 실렸습니다.
23,독서신문에 미오림재단 인터뷰 기사 실렸습니다.,2011.05.03,9111,"온오프라인 문학신문 독서신문에 미오림 복지재단 후원기사가 실렸습니다. 미오림을 사랑하시는 많은 분들의 관심 바랍니다. 본문 [ 독서신문 = 김성희 기자] 1세기 선진복지국가로 재탄생하기 위한 대한민국의 발걸음은 분주하지만, 사회복지에 대한 제대로 된 개념정립과 국민의식 수준은 아직 갈 길이 멀어 보인다. 잊을만하면 한 번씩 불거져 나오는 소위 사회복지시설들의 파행과 반인륜적 사건 보도에 국민들이 충격받기 일쑤다. 장애인보호시설은 물론, 아동, 여성, 노인 복지시설의 운영 실태와 관리방식이 아직은 수준 미달인 곳이 많고, 심지어 공금유용 및 횡령, 수용인 및 근무 직원(지도교사, 요양사, 복지관리사 등)에 대한 비인간적 처우, 외부와 차단된 왕국식 운영관행 등 사회복지시설에 대한 국민들의 선입견과 반감을 조장하는 사례들이 빈번했던 것이 사실이다. 그러나 이런 일부의 잘못된 관행과 선입견을 과감히 벗어 던지고, 사회복지시설의 새로운 패러다임을 만들어 가며 조용하지만 큰 실천을 하고 있는 김우화, 이순례씨 부부가 주목받고 있다. 두 사람이지만 한 마음, 한 사람으로 서로를 의지하며 지난 8년 간 이들이 일궈낸 보금자리는 바로 ‘미오림’ 사회복지재단이다. 최고 수준 사회복지시설로 인정받는 ‘미오림’ 재단 ‘미운오리 새끼가 연약한 얼굴을 기대며 숨을 쉴 수 있는 숲’이란 뜻으로 지었다는 ‘미오림’. Mirace(기적)의 ‘미’와 Hope(희망)의 ‘오’, 그리고 Dream(꿈)의 ‘림’은 기적과도 같은 꿈이 이뤄질기를 소망하는 많은 이들의 희망도 담았다. 30여 년 동안 사업만 해왔고, 지금도 ‘루마필름’이란 자동차 썬팅용 필름을 공식 수입하며 전국 직영 대리점을 400여개나 운영하는 (주)씨피에프의 대표인 김우화 사장이 ‘미오림’ 복지재단을 설립한 것은 2003년 9월이었다. 처음부터 사회봉사와 복지재단에 대한 어떤 계획이나 의지를 갖고 시작한 것은 아니었다. 우연히, 아니 돌연히 찾아온 형의 죽음을 대하며 삶의 회의와 무상함에 부딪혔던 김우화 사장은 ‘공수레 공수거’인 인간의 한 생에서 나와 내 가족을 돌보는 것만큼이나 중요한 것이 이웃을 사랑하고 희생을 나눌 수 있는 삶이어야 한다는 것을 깨닫고, 사회복지에 눈을 돌리게 된다. 그리고 곧바로 사회복지재단 설립과 장애인복지시설인 ‘친구마을’ 개원을 추진한다. 부지는 부부가 노후생활을 대비해 매입해 두었던 경북 문경시 마성면의 11만 5700평방미터(약 35,000평) 땅을 재단에 기부해 마련했다. 하지만 시작부터 첩첩산중이었다. 장애인복지시설을 혐오시설로 인식한 동네 주민들의 항의가 빗발쳤고, 아무 연고도 없는 타지인의 법인 신청을 받은 지자체 당국자는 이런 저런 이유를 대며 불신의 눈초리로 까다로운 행정절차를 요구했다. 주위의 지인들조차 ‘복지사업’이란 말에 의구심어린 시선을 보내기도 했다. 처음부터 오해와 불신, 선입견의 장벽에 부딪힌 김우화, 이순례씨 부부는 지금도 가장 힘든 일이 우리 사회에 너무나 보편화 돼 있는 ‘사회복지사업’에 대한 비뚤어진 시각을 극복하고 제대로 인식시키는 것이라고 말한다. 우여곡절 끝에 2003년 ‘미오림복지재단’의 설립허가를 받고, 이듬해 2월 경북 문경시 제1호 사회복지시설인 ‘친구마을’을 개원했다. ‘친구마을’은 낮 시간에 돌보는 이 없이 홀로 지내야하는 인근 지역 장애인들을 모아 보살펴주며, 공동작업을 통해 재활치료도 겸하는 장애인보호 작업장이다. 장애우들의 출퇴근은 미오림 직원들이 직접 차량으로 장애우 집까지 케어해주며, 적은 금액이지만 장애우들이 작업한 수익금은 곧바로 개인통장으로 지급한다. 대부분의 복지시설이 주민과의 마찰을 염려해 깊은 산 속이나 외딴 곳에 위치해 있지만, 미오림은 마을 한 복판의 너른 평지에 자리 잡고 있다. 사회와 유리된 차등적 복지시설의 패러다임을 넘어서 이제는 우리 사회의 한 구성원으로 함께 소통하고 같이 어울려야 한다는 김우화 이사장의 새로운 개념이 일궈낸 결과다. 소통해야 이해할 수 있고, 접촉해야 더 많은 사랑이 퍼져나갈 수 있다는 신념으로 마을 주민들에게 ‘미오림’ 시설들을 개방하는 것은 물론, 지역민들과 하나 되는 프로그램도 운영하고 있다. 우연한 계기에 사회복지사업을 시작하게 됐지만, 하면 할수록 해야 할, 아니 하고 싶은 일들이 너무 많다는 김우화, 이순례씨 부부. ‘친구마을’에 이어 2008년 4월에는 노인요양시설인 ‘봄마을’을 개원해, 현재 58명의 중증 어르신들을 돌보고 있는 ‘미오림’ 복지재단은 신묘년 올해 ‘장애인수용시설’ 신축이란 또 하나의 목표를 가졌다. “돌봐주어야 할 사람들이 많기에 사업도 더 열심히 했고, 남들보다 더 부지런히 살았습니다. 그리고, ‘봉사’라는 게 반드시 몇 백억, 몇 천억 가진 부자만이 할 수 있는 게 아니라는 것을 깨달았습니다. 봉사할 수 있는 기회와 능력을 갖게 된 것이 가장 큰 보람이며 기쁨입니다”라고 말하는 김우화 이사장은 “더 많은 사람들이 ‘봉사’를 통해 좀 더 책임감 있는 인생을 살고, 베품과 포용이 주는 행복을 느끼게 되길 바란다”며 작지만 진지한 소망을 전했다. 이순례 ‘봄마을’ 원장과 함께 한 ‘미오림’ 방문기 지난 20여년 간 서울에서 약사로, 아내로, 어머니로 살아온 이순례 원장은 어릴 적부터 막연하게나마 사회봉사의 꿈을 갖고 있었지만, 막상 본격적인 봉사활동을 나서기가 쉽지 않았다고 했다. 그저 신앙생활 중에 교회에서 하는 봉사활동이 고작이었는데, 남편이 시작한 ‘미오림’ 재단을 계기로 참된 봉사를 실천하게 된 것이 큰 기쁨이라고 말하며 수줍게 웃었다. 노인요양시설인 ‘봄마을’ 투어를 직접 인도해 준 이원장은 기본 설비부터 간식에 이르기까지 하나하나 정성이 들어간 기본 시설과 설비, 33명의 직원 근무 현황 및 운영 자금 등 그들의 보금자리 모습을 있는 그대로 보여주었고, 노인요양시설인 ‘봄마을’ 원장으로서 가장 중점적으로 실천하는 원칙에 대해 진솔한 이야기를 이어갔다. 다음은 그녀의 이야기 전문. “이사장님이나 저나, 가장 중요하게 여기는 원칙은 ‘투명성’입니다. 우리 사회 모든 부분들이 그렇듯이 믿음과 신뢰는 공정성과 투명성이 바탕이 됐을 때 자연스럽게 만들어지는 것이지요. 복지시설 운영에 정부지원이 있는 만큼 자금운용이나 시설 및 직원관리 등 모든 사항에 한 치의 오해가 없도록 ‘열린 경영’을 하는 게 가장 좋은 방법이라고 생각했습니다. 그래서, 한 달에 두 번씩 팀장회의를 갖고, 운영비 회계 및 시설이용자(이원장은 ‘수용자’라는 말 대신 ‘시설이용 어르신’, ‘친구들’이라고 표현) 관리상황 등을 공개해서 공유합니다. 그리고 직원들의 근무 여건이나 기타 의견도 서로 기탄없이 이야기하는 장으로 활용합니다. 자금운용뿐만 아니라 직원관리 또한 매우 중요한 과제였습니다. 소통부재와 대화단절로 인한 오해와 불신보다는 드러내서 함께 고민하고, 해결하는 것이 최선이라고 판단했습니다. 특히 이직과 퇴직이 빈번한 복지시설 근무 직원들의 실태를 개선하는 데 주력했습니다. 아무리 최고의 시설을 갖췄다하더라도 돌봐주는 이의 따뜻한 사랑과 기쁨이 없으면 이용자들을 정성껏 돌보기 힘들지요. 희생과 봉사의 마음으로 선택한 직업이지만 그분들도 똑같은 사람의 마음입니다. 무조건적인 희생과 봉사를 강요하는 것보다는, 즐겁고 행복한 마음으로 자기 일에 최선을 다할 수 있는 여건을 조성해 주는 것이 효율적이라고 생각합니다. 그래서 직원들 근무환경과 복지에 많은 노력을 기울입니다. 법정 근무시간 준수부터 공정한 인사 등 그들의 불만사항을 최대한 없애는 것이지요. 작년 6월에는 1년 이상 장기 근무자들을 대상으로 ‘우수 직원 해외연수’를 실시해 16명이 일본으로 연수를 다녀왔습니다. 첫 시도여서 부족한 점도 있었겠지만, 직원 모두 매우 만족하며 자신의 일에 대한 애착심과 자긍심을 높이게 됐고, 더욱 즐겁게, 열심히 일하는 계기가 됐다고 평가 했습니다. 또, ‘열린 경영’은 시설이용자를 비롯한 우리 ‘미오림’이 있는 그대로의 모습으로 지역 주민, 우리사회 모두와 자연스럽게 소통하고, 하나 되는 운영도 의미합니다. 언제부터인지는 모르겠지만 우리 사회에 깊숙이 뿌리 박혀 있는 사회복지시설에 대한 불편한 시선이 저희들을 가장 힘들게 합니다. 심지어 시설이용자의 가족들조차 불신에 찬 목소리를 높이기도 합니다. 하지만, 저희는 이 모든 것 역시 소통부재가 원인이라고 생각했고, 모든 시설과 운영 실태를 어느 누가 와도 있는 그대로 공개합니다. 처음에는 시설이용자분들이 심리적 부담을 느끼지 않을까 걱정도 많았지만, 후원 회원들의 자원봉사를 비롯한 외부 방문을 자주 접하면서 오히려 기쁨을 느끼는 분들이 더 많았습니다. 사람과 사람의 대면, 접촉하는 손길로 전해지는 따뜻한 사랑이 큰 힘이 된 것이지요. 봉사하러 오신 분들 역시 진한 감동과 뿌듯한 인간애를 느끼고 갑니다.” 많은 이들이 함께 해서 키워나가는 ‘미오림’재단 되길 지인들이 알음알음으로 후원을 자청해 현재 700여명의 후원자들이 돕고 있지만, 매달 2000만원~3000만원의 적자다. 국내 최고 수준으로 만들어온 모든 시설과 환경 유지를 포기하지 않는 김우화 이사장이 지금까지 ‘미오림’ 복지재단에 쏟아 부은 유형무형의 자산만 50억원쯤 된다. 지인들 모두 ‘미친 것 아니냐’는 반응을 보인다. 그렇지만 그는 올해 또 새롭게 ‘장애인수용시설’ 신축과 ‘봄마을’이 노인요양시설 최초로 국제표준화규격(ISO)을 인증 받는 것을 목표로 매진하고 있다. 총 30억원의 소요예산 중 정부에서 10억원을 지원받았지만 20억원은 김 이사장이 마련해야 한다. 재단을 위해 개인사업도 더 열심히 할 계획이다. 그리고 세상에 ‘미오림’을 알리는 일도 적극적으로 시작할 예정이다. 복지사업 한다고 스스로 말하는 것이 낯부끄러워 단 한 번도 후원회 이야기를 꺼내본 적 없다는 김 이사장은 이제는 좀 더 열린 마음으로 많은 이들이 이 아름답고 행복한 일에 참여하기를 권하기로 했다. 봉사의 즐거움을 세상 사람들과 나누는 것 역시 또 다른 이름의 봉사이기 때문이다. 하지만, 김 이사장이 ‘미오림’을 세상에 알리고 후원회를 확대하려는 결심을 한 더 큰 이유는 다른 데 있다. 온갖 정성으로 만들어진 ‘미오림’ 재단과 ‘봄마을’, ‘친구마을’ 등 복지시설들이 김 이사장이 이 세상에 없을 때에도 영원히 지속되기를 바라는 염원에서다. 지금은 김 이사장이 이끌고 있지만, 영원할 수 없는 게 순리다. 그래서 재단 스스로 자생해야 한다는 원칙도 세웠다. 현재 아내가 맡고 있는 ‘봄마을’ 원장도 조만간 근무 직원들 중에 적임자를 선발해서 이임할 예정이다. 가족끼리 운영하고, 대를 이어 개인 재산처럼 상속하는 그런 파행은 아예 처음부터 차단한다는 신념이다. 21세기형 신개념 사회복지를 꿈꾸며 그 선두주자로서 전 재산을 쏟아 부은 김우화, 이순례 부부. 그들은 자신들이 일궈놓은 ‘미오림’의 숲이 작지만 강한 밀알로써 우리 후손들에게 영원히 전해지기를 소망하며 오늘도 주어진 하루를 성실하게 채워가고 있다. 사회복지법인 후원 계좌 (예금주 : 미오림 복지재단) 우리은행법인 : 185-239502-01-003 농협법인통장 : 093-01-170674"
22,KJGA 주니어 골프 선수권대회 협찬,2010.11.05,9272,"﻿ ﻿10월 28일부터 29일까지 태광 C.C에서 벌어진 2010 KJGA 주니어 골프 선수권대회에 루마썬팅필름이 현수막과 배너및 대회 카다로그에 게재함으로써 대회에 참가한 선수, 학부모, 대회 관계자들에게 세계 최고의 썬팅필름-루마필름에 대한 유익한 홍보의 장이 되었습니다. KJGA 주니어 골프 선수권대회는 골프 꿈나무 육성과 저변확대에 중요한 일익을 담당하는 메이저 주니어 대회로써 향후 홍보효과가 클 것으로 생각됩니다."
